,Sample,Fidelity,Radius[cm],Thickness[cm],NPanels,Theta[deg],Length[cm],y_raw,y_cnp,y_cnp_err,y_rGe77[nuc/(kg*yr)]
0,0,0.0,183.8,5.1,219.0,49.0,19.8,46.0,0.2846,0.0232,0.1392
1,1,0.0,184.2,5.1,218.0,48.9,17.8,53.0,0.2787,0.0229,0.1596
2,2,0.0,202.4,2.7,29.0,10.4,78.7,63.0,0.1637,0.0182,0.1856
3,3,0.0,208.4,4.3,18.0,3.0,50.6,51.0,0.1516,0.0173,0.1516
4,4,0.0,225.2,9.6,7.0,0.0,3.5,57.0,0.1408,0.0168,0.168
5,5,0.0,201.4,2.6,317.0,52.1,16.6,47.0,0.4785,0.0276,0.1408
6,0,1.0,183.8,5.1,219.0,49.0,19.8,179.0,0.1634,0.0172,0.1447
7,1,1.0,184.2,5.1,218.0,48.9,17.8,192.0,0.1632,0.0172,0.1671
8,2,1.0,202.4,2.7,29.0,10.4,78.7,257.0,0.1305,0.0155,0.1939
9,3,1.0,208.4,4.3,18.0,3.0,50.6,237.0,0.13,0.0155,0.1897
10,4,1.0,225.2,9.6,7.0,0.0,3.5,213.0,0.1164,0.0146,0.1778
11,5,1.0,201.4,2.6,317.0,52.1,16.6,202.0,0.2081,0.0188,0.1569